Book-Title,Book-Author,Image-URL-M,Total_Votes,Average_Rating
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,https://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,428,5.85
Harry Potter and the Goblet of Fire,J. K. Rowling,https://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,387,5.8
Harry Potter and the Sorcerer's Stone,J. K. Rowling,https://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,278,5.74
Harry Potter and the Order of the Phoenix,J. K. Rowling,https://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,347,5.5
Harry Potter and the Chamber of Secrets,J. K. Rowling,https://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,556,5.18
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,281,5.01
The Fellowship of the Ring,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,368,4.95
Harry Potter and the Sorcerer's Stone ,J. K. Rowling,https://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,575,4.9
The Two Towers,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,260,4.88
To Kill a Mockingbird,Harper Lee,https://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,4.7
The Da Vinci Code,Dan Brown,https://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,4.64
The Five People You Meet in Heaven,Mitch Albom,https://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,430,4.55
The Catcher in the Rye,J.D. Salinger,https://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,449,4.55
The Lovely Bones,Alice Sebold,https://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,1295,4.47
1984,George Orwell,https://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,284,4.45
Prodigal Summer,Barbara Kingsolver,https://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,253,4.45
Neverwhere,Neil Gaiman,https://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,265,4.45
The Secret Life of Bees,Sue Monk Kidd,https://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,774,4.45
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,https://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg,283,4.36
Tuesdays with Morrie,MITCH ALBOM,https://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,493,4.35
The Red Tent ,Anita Diamant,https://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,723,4.33
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"https://m.media-amazon.com/images/I/814PgH8CDXL._AC_UF1000,1000_QL80_.jpg",268,4.33
Nickel and Dimed,Barbara Ehrenreich,https://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,335,4.29
Into the Wild,Jon Krakauer,https://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,252,4.27
Fahrenheit 451,Ray Bradbury,https://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,409,4.26
Girl with a Pearl Earring,Tracy Chevalier,https://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,526,4.22
Outlander,DIANA GABALDON,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,283,4.17
Where the Heart Is ,Billie Letts,https://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,585,4.11
Seabiscuit: An American Legend,LAURA HILLENBRAND,https://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,275,4.1
Life of Pi,Yann Martel,https://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,664,4.09
The Bean Trees,Barbara Kingsolver,https://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,389,4.09
"A Child Called ""It""",Dave Pelzer,https://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,265,4.09
ANGELA'S ASHES,Frank McCourt,https://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,279,4.08
Good in Bed,Jennifer Weiner,https://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,490,4.06
